scenario,strategy,job_index,makespan_seconds,energy_joules
homogeneous,fixed_equal,0,4.4681,278.1821
homogeneous,fixed_equal,1,4.25,272.406
homogeneous,fixed_equal,2,4.25,258.6126
homogeneous,fixed_equal,3,4.397,265.5532
homogeneous,fixed_equal,4,4.3322,278.4672
homogeneous,fixed_equal,5,4.25,246.3059
homogeneous,fixed_equal,6,4.5288,271.9571
homogeneous,fixed_equal,7,4.4415,281.5023
homogeneous,fixed_equal,8,4.3835,273.4951
homogeneous,fixed_equal,9,4.7686,291.5392
homogeneous,fixed_equal,10,4.25,256.9255
homogeneous,fixed_equal,11,4.4771,276.6571
homogeneous,fixed_equal,12,4.25,261.6153
homogeneous,fixed_equal,13,4.25,264.757
homogeneous,fixed_equal,14,4.6733,283.0615
homogeneous,fixed_equal,15,4.2893,267.094
homogeneous,fixed_equal,16,4.9904,286.5618
homogeneous,fixed_equal,17,4.7692,283.8736
homogeneous,fixed_equal,18,4.4071,273.2995
homogeneous,fixed_equal,19,4.7435,281.0487
homogeneous,fixed_equal,20,4.2668,264.9862
homogeneous,fixed_equal,21,4.7452,273.7713
homogeneous,fixed_equal,22,4.5886,286.4595
homogeneous,fixed_equal,23,4.2566,264.4595
homogeneous,fixed_equal,24,4.25,256.8467
homogeneous,fixed_equal,25,4.3662,267.7441
homogeneous,fixed_equal,26,4.4672,279.8275
homogeneous,fixed_equal,27,4.2767,272.8136
homogeneous,fixed_equal,28,4.6742,278.952
homogeneous,fixed_equal,29,4.5387,285.5968
homogeneous,fixed_equal,30,4.3641,276.6546
homogeneous,fixed_equal,31,4.5988,285.0687
homogeneous,fixed_equal,32,4.4653,263.5054
homogeneous,fixed_equal,33,5.1106,288.2699
homogeneous,fixed_equal,34,4.2595,272.5813
homogeneous,fixed_equal,35,4.2971,267.2833
homogeneous,fixed_equal,36,4.4645,282.9847
homogeneous,fixed_equal,37,4.6928,287.4941
homogeneous,fixed_equal,38,4.4095,280.5228
homogeneous,fixed_equal,39,4.4172,274.1015
homogeneous,proportional_snapshot,0,8.75,286.5541
homogeneous,proportional_snapshot,1,8.75,291.2615
homogeneous,proportional_snapshot,2,8.75,308.447
homogeneous,proportional_snapshot,3,8.75,294.7094
homogeneous,proportional_snapshot,4,8.75,279.552
homogeneous,proportional_snapshot,5,8.75,283.4477
homogeneous,proportional_snapshot,6,8.75,300.2104
homogeneous,proportional_snapshot,7,8.75,288.0138
homogeneous,proportional_snapshot,8,8.75,302.0876
homogeneous,proportional_snapshot,9,8.75,295.4567
homogeneous,proportional_snapshot,10,8.75,294.8472
homogeneous,proportional_snapshot,11,8.75,289.3738
homogeneous,proportional_snapshot,12,8.75,289.4028
homogeneous,proportional_snapshot,13,8.75,294.7784
homogeneous,proportional_snapshot,14,8.75,298.3069
homogeneous,proportional_snapshot,15,8.75,294.5316
homogeneous,proportional_snapshot,16,8.75,293.6366
homogeneous,proportional_snapshot,17,8.75,298.2238
homogeneous,proportional_snapshot,18,8.75,299.9252
homogeneous,proportional_snapshot,19,8.75,298.2222
homogeneous,proportional_snapshot,20,8.75,289.2289
homogeneous,proportional_snapshot,21,8.75,304.0549
homogeneous,proportional_snapshot,22,8.75,295.6216
homogeneous,proportional_snapshot,23,8.75,291.605
homogeneous,proportional_snapshot,24,8.75,301.4418
homogeneous,proportional_snapshot,25,8.75,298.0319
homogeneous,proportional_snapshot,26,8.75,289.6194
homogeneous,proportional_snapshot,27,8.75,293.6003
homogeneous,proportional_snapshot,28,8.75,292.5894
homogeneous,proportional_snapshot,29,8.75,300.2608
homogeneous,proportional_snapshot,30,8.75,303.8303
homogeneous,proportional_snapshot,31,8.75,289.189
homogeneous,proportional_snapshot,32,8.75,294.3828
homogeneous,proportional_snapshot,33,8.75,279.3152
homogeneous,proportional_snapshot,34,8.75,290.8628
homogeneous,proportional_snapshot,35,8.75,292.8342
homogeneous,proportional_snapshot,36,8.75,291.3937
homogeneous,proportional_snapshot,37,8.75,293.2889
homogeneous,proportional_snapshot,38,8.75,294.3648
homogeneous,proportional_snapshot,39,8.75,288.0452
homogeneous,adaptive_dlt,0,5.161,273.5085
homogeneous,adaptive_dlt,1,4.25,258.2102
homogeneous,adaptive_dlt,2,4.3119,275.1845
homogeneous,adaptive_dlt,3,4.5964,269.8179
homogeneous,adaptive_dlt,4,4.8832,285.8681
homogeneous,adaptive_dlt,5,4.3296,265.9532
homogeneous,adaptive_dlt,6,4.8315,284.5176
homogeneous,adaptive_dlt,7,4.25,253.7454
homogeneous,adaptive_dlt,8,4.7559,290.4605
homogeneous,adaptive_dlt,9,4.6713,288.8145
homogeneous,adaptive_dlt,10,4.25,275.9283
homogeneous,adaptive_dlt,11,4.25,269.2861
homogeneous,adaptive_dlt,12,4.5082,270.777
homogeneous,adaptive_dlt,13,4.48,269.8314
homogeneous,adaptive_dlt,14,5.0124,303.0798
homogeneous,adaptive_dlt,15,4.375,250.186
homogeneous,adaptive_dlt,16,4.7074,266.2076
homogeneous,adaptive_dlt,17,4.5366,273.1303
homogeneous,adaptive_dlt,18,4.3318,271.3713
homogeneous,adaptive_dlt,19,4.125,264.0046
homogeneous,adaptive_dlt,20,4.352,259.6311
homogeneous,adaptive_dlt,21,4.5538,280.9633
homogeneous,adaptive_dlt,22,4.125,262.0434
homogeneous,adaptive_dlt,23,4.3867,276.8207
homogeneous,adaptive_dlt,24,4.4427,280.3587
homogeneous,adaptive_dlt,25,4.2593,276.0838
homogeneous,adaptive_dlt,26,4.25,265.1404
homogeneous,adaptive_dlt,27,4.6385,272.2582
homogeneous,adaptive_dlt,28,4.4279,276.271
homogeneous,adaptive_dlt,29,4.7007,289.0451
homogeneous,adaptive_dlt,30,4.3845,277.2797
homogeneous,adaptive_dlt,31,4.25,263.1447
homogeneous,adaptive_dlt,32,4.125,256.1846
homogeneous,adaptive_dlt,33,4.1659,265.8144
homogeneous,adaptive_dlt,34,4.125,262.8415
homogeneous,adaptive_dlt,35,4.0,246.4886
homogeneous,adaptive_dlt,36,4.6765,267.6953
homogeneous,adaptive_dlt,37,4.6184,282.0856
homogeneous,adaptive_dlt,38,4.125,255.6085
homogeneous,adaptive_dlt,39,4.7431,283.1292
heterogeneous_rate,fixed_equal,0,7.3685,289.9079
heterogeneous_rate,fixed_equal,1,8.6488,318.7574
heterogeneous_rate,fixed_equal,2,7.6982,290.0658
heterogeneous_rate,fixed_equal,3,6.8629,274.2792
heterogeneous_rate,fixed_equal,4,7.3335,288.5916
heterogeneous_rate,fixed_equal,5,8.8652,314.1846
heterogeneous_rate,fixed_equal,6,9.0269,322.019
heterogeneous_rate,fixed_equal,7,7.721,287.2475
heterogeneous_rate,fixed_equal,8,7.9121,296.5423
heterogeneous_rate,fixed_equal,9,8.2108,311.9699
heterogeneous_rate,fixed_equal,10,7.3319,286.0438
heterogeneous_rate,fixed_equal,11,8.0415,297.908
heterogeneous_rate,fixed_equal,12,9.7465,334.1937
heterogeneous_rate,fixed_equal,13,8.9842,319.3467
heterogeneous_rate,fixed_equal,14,8.1167,299.5467
heterogeneous_rate,fixed_equal,15,9.4893,332.0135
heterogeneous_rate,fixed_equal,16,7.0034,280.1411
heterogeneous_rate,fixed_equal,17,8.1833,307.8633
heterogeneous_rate,fixed_equal,18,7.6645,296.1166
heterogeneous_rate,fixed_equal,19,7.9029,297.1981
heterogeneous_rate,fixed_equal,20,6.9889,276.1182
heterogeneous_rate,fixed_equal,21,6.926,277.6484
heterogeneous_rate,fixed_equal,22,6.9339,289.2496
heterogeneous_rate,fixed_equal,23,7.6548,295.91
heterogeneous_rate,fixed_equal,24,9.0748,320.8594
heterogeneous_rate,fixed_equal,25,8.595,312.8145
heterogeneous_rate,fixed_equal,26,9.0226,323.0539
heterogeneous_rate,fixed_equal,27,7.5736,295.8842
heterogeneous_rate,fixed_equal,28,7.6317,290.5872
heterogeneous_rate,fixed_equal,29,8.3643,305.0483
heterogeneous_rate,fixed_equal,30,8.132,307.8243
heterogeneous_rate,fixed_equal,31,8.6438,317.5499
heterogeneous_rate,fixed_equal,32,7.818,294.1307
